"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"7950000US3603701","NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York","109938","2486","56452","1739","35443","1182","13212","1308","319","262","4646","513","43","76","918","415","1871","456","146","192","1725","420","53486","2076","14945","1568","4663","857","356","180","219","145","257","349","29259","2125","3787","725","1875","501","1912","447"
"7950000US3603702","NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York","151305","3234","113942","2923","9537","819","95875","2552","592","363","4187","1137","56","67","1837","565","1858","487","516","264","1342","408","37363","2436","12046","1237","6603","1223","594","439","45","45","15","24","15739","1758","2321","680","1353","450","968","420"
"7950000US3603703","NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York","119645","2949","71271","2907","30868","1235","34347","2622","147","175","3658","748","39","55","688","355","1524","569","235","214","1289","526","48374","2564","17918","2291","4832","1214","770","606","242","241","0","28","21173","1703","3439","1316","1604","771","1835","1117"
"7950000US3603704","NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York","126733","2468","68135","1914","26853","1065","27796","1681","242","125","10512","1110","26","41","1074","305","1632","576","374","185","1258","549","58598","2335","15040","1512","4017","659","765","395","294","165","40","64","34229","2135","4213","855","2299","708","1914","403"
"7950000US3603705","NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York","171842","3192","65407","2286","6553","602","55076","1977","331","294","1614","444","96","150","404","177","1333","410","156","126","1177","377","106435","2914","20957","1987","13862","1652","818","388","95","100","242","245","65758","2932","4703","830","2775","515","1928","560"
"7950000US3603706","NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York","132128","2572","36111","1817","7276","1066","19123","1540","196","164","6828","787","48","79","747","434","1893","624","254","222","1639","609","96017","2887","17389","1700","7444","1383","536","237","141","99","90","81","66821","3564","3596","615","1695","393","1901","550"
"7950000US3603707","NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York","139656","2368","42177","1716","1642","379","36575","1698","93","94","1976","428","19","29","628","249","1244","405","296","204","948","360","97479","2483","15098","1708","13819","1354","545","232","35","41","0","28","64569","2391","3413","677","1694","360","1719","565"
"7950000US3603708","NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York","141400","2383","48327","2179","3385","593","40730","2021","442","343","1871","498","0","28","650","278","1249","388","76","69","1173","385","93073","2511","16099","1830","11486","1581","533","268","130","93","233","313","60459","2822","4133","791","1720","499","2413","623"
"7950000US3603709","NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York","185690","3444","78481","2836","5627","771","52720","2297","594","257","15151","1271","0","28","1453","374","2936","628","457","162","2479","574","107209","2893","34625","2503","9098","1475","942","483","296","244","20","33","57151","3174","5077","921","2741","632","2336","569"
"7950000US3603710","NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York","156731","2484","50747","2374","3956","729","44019","2314","313","173","1027","337","110","164","572","227","750","278","33","36","717","277","105984","2591","20276","1819","9517","1258","988","497","22","25","51","58","70234","2562","4896","910","2946","710","1950","518"
"7950000US3603801","NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York","216591","4143","68561","2518","42105","1929","16325","1383","107","81","6330","797","79","91","822","294","2793","424","179","86","2614","418","148030","4170","35557","2748","13669","1734","1662","665","518","395","117","107","81851","4346","14656","2326","8865","1818","5791","1284"
"7950000US3603802","NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York","131080","3313","79713","2705","37970","1580","26346","2042","250","120","11280","1046","18","20","378","174","3471","637","221","166","3250","613","51367","3087","13662","1611","5548","1090","416","344","118","124","60","95","21201","2763","10362","1718","2142","753","8220","1533"
