Geography Name,BoroCD,Percent People of Color
Belmont and East Tremont (CD6),206,96
Fordham and University Heights (CD5),205,98.9
Highbridge and Concourse (CD4),204,98
Hunts Point and Longwood (CD2),202,98
Kingsbridge Heights and Bedford (CD7),207,94.2
Morris Park and Bronxdale (CD11),211,78.3
Morrisania and Crotona (CD3),203,96
Mott Haven and Melrose (CD1),201,98
Parkchester and Soundview (CD9),209,97.1
Riverdale and Fieldston (CD8),208,67.7
Throgs Neck and Co-op City (CD10),210,72.5
Williamsbridge and Baychester (CD12),212,93.7
Bay Ridge and Dyker Heights (CD10),310,45.4
Bedford Stuyvesant (CD3),303,74
Bensonhurst (CD11),311,59.8
Borough Park (CD12),312,71.3
Brownsville (CD16),316,97.4
Bushwick (CD4),304,81.1
Coney Island (CD13),313,44.1
Crown Heights and Prospect Heights (CD8),308,77.7
East Flatbush (CD17),317,97.3
East New York and Starrett City (CD5),305,96.3
Flatbush and Midwood (CD14),314,59.2
Flatlands and Canarsie (CD18),318,77.3
Fort Greene and Brooklyn Heights (CD2),302,53.6
Greenpoint and Williamsburg (CD1),301,37
Park Slope and Carroll Gardens (CD6),306,35.9
Sheepshead Bay (CD15),315,34.5
South Crown Heights and Lefferts Gardens (CD9),309,77.2
Sunset Park (CD7),307,75.6
Central Harlem (CD10),110,85.8
Clinton and Chelsea (CD4),104,40.9
East Harlem (CD11),111,86.3
Financial District (CD1),101,27.8
Greenwich Village and Soho (CD2),102,27.8
Lower East Side and Chinatown (CD3),103,66.7
Midtown (CD5),105,40.9
Morningside Heights and Hamilton Heights (CD9),109,72.4
Stuyvesant Town and Turtle Bay (CD6),106,30.3
Upper East Side (CD8),108,24.7
Upper West Side (CD7),107,32
Washington Heights and Inwood (CD12),112,81.1
Bayside and Little Neck (CD11),411,60.6
Elmhurst and Corona (CD4),404,93.8
Flushing and Whitestone (CD7),407,74.6
Hillcrest and Fresh Meadows (CD8),408,70.1
Jackson Heights (CD3),403,89.6
Jamaica and Hollis (CD12),412,98.2
Kew Gardens and Woodhaven (CD9),409,82
Long Island City and Astoria (CD1),401,51.7
Queens Village (CD13),413,89.1
Rego Park and Forest Hills (CD6),406,52.3
Ridgewood and Maspeth (CD5),405,48.3
Rockaway and Broad Channel (CD14),414,65.8
South Ozone Park and Howard Beach (CD10),410,78.5
Woodside and Sunnyside (CD2),402,71.1
South Beach and Willowbrook (CD2),502,33.9
St. George and Stapleton (CD1),501,62.9
Tottenville and Great Kills (CD3),503,17.1
