1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. CAS #/COMPOUND ID,37. SRS ID,38. CLEAN AIR ACT CHEMICAL,39. CLASSIFICATION,40. METAL,41. METAL CATEGORY,42. CARCINOGEN,43. FORM TYPE,44. UNIT OF MEASURE,45. 5.1 - FUGITIVE AIR,46. 5.2 - STACK AIR,47. 5.3 - WATER,48. 5.4 - UNDERGROUND,49. 5.4.1 - UNDERGROUND CL I,50. 5.4.2 - UNDERGROUND C II-V,51. 5.5.1 - LANDFILLS,52. 5.5.1A - RCRA C LANDFILL,53. 5.5.1B - OTHER LANDFILLS,54. 5.5.2 - LAND TREATMENT,55. 5.5.3 - SURFACE IMPNDMNT,56. 5.5.3A - RCRA SURFACE IM,57. 5.5.3B - OTHER SURFACE I,58. 5.5.4 - OTHER DISPOSAL,59. ON-SITE RELEASE TOTAL,60. 6.1 - POTW - TRNS RLSE,61. 6.1 - POTW - TRNS TRT,62. POTW - TOTAL TRANSFERS,63. 6.2 - M10,64. 6.2 - M41,65. 6.2 - M62,66. 6.2 - M40 METAL,67. 6.2 - M61 METAL,68. 6.2 - M71,69. 6.2 - M81,70. 6.2 - M82,71. 6.2 - M72,72. 6.2 - M63,73. 6.2 - M66,74. 6.2 - M67,75. 6.2 - M64,76. 6.2 - M65,77. 6.2 - M73,78. 6.2 - M79,79. 6.2 - M90,80. 6.2 - M94,81. 6.2 - M99,82. OFF-SITE RELEASE TOTAL,83. 6.2 - M20,84. 6.2 - M24,85. 6.2 - M26,86. 6.2 - M28,87 6.2 - M93,88. OFF-SITE RECYCLED TOTAL,89. 6.2 - M56,90. 6.2 - M92,91. OFF-SITE ENERGY RECOVERY T,92. 6.2 - M40 NON-METAL,93. 6.2 - M50,94. 6.2 - M54,95. 6.2 - M61 NON-METAL,96. 6.2 - M69,97. 6.2 - M95,98. OFF-SITE TREATED TOTAL,99. 6.2 - UNCLASSIFIED,100. 6.2 - TOTAL TRANSFER,101. TOTAL RELEASES,102. 8.1 - RELEASES,103. 8.1A - ON-SITE CONTAINED,104. 8.1B - ON-SITE OTHER ,105. 8.1C - OFF-SITE CONTAIN,106. 8.1D - OFF-SITE OTHER R,107. 8.2 - ENERGY RECOVER ON,108. 8.3 - ENERGY RECOVER OF,109. 8.4 - RECYCLING ON SITE,110. 8.5 - RECYCLING OFF SIT,111. 8.6 - TREATMENT ON SITE,112. 8.7 - TREATMENT OFF SITE,113. PRODUCTION WSTE (8.1-8.7),114. 8.8 - ONE-TIME RELEASE,115. PROD_RATIO_OR_ ACTIVITY,116. 8.9 - PRODUCTION RATIO
2019,14733MNFRX501NE,1.1E+11,MONOFRAX LLC,1870 NEW YORK AVE,FALCONER,CHAUTAUQUA,NY,14733,,,42.115913,-79.182156,NAD83,NA,,NA,NO,327,Nonmetallic Mineral Product,,,,,,,327120,,,,,,1.31922E+12,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),NO,N090,649475,YES,TRI,YES,1,NO,R,Pounds,0,250,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,90,0,0,0,0,0,0,0,0,90,,PRODUCTION,24
2019,1230WFRTTC215TE,1.10033E+11,DSM NUTRITIONAL PRODUCTS,2105 TECHNOLOGY DR,SCHENECTADY,SCHENECTADY,NY,12308,,,42.83456,-73.92296,NAD83,DSM HOLDING CO USA INC,160147252,DSM HOLDING CO USA INC,NO,325,Chemicals,,,,,,,325412,,,,,,1.31922E+12,COPPER  and COPPER COMPOUNDS,YES,N100,649491,NO,TRI,YES,1,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.86,0,32.86,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,0,0,577.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,577.86,0,0,0,545,32.86,0,0,0,0,0,0,577.86,,PRODUCTION,0.66
2019,1230WFRTTC215TE,1.10033E+11,DSM NUTRITIONAL PRODUCTS,2105 TECHNOLOGY DR,SCHENECTADY,SCHENECTADY,NY,12308,,,42.83456,-73.92296,NAD83,DSM HOLDING CO USA INC,160147252,DSM HOLDING CO USA INC,NO,325,Chemicals,,,,,,,325412,,,,,,1.31922E+12,ZINC COMPOUNDS,NO,N982,649699,NO,TRI,YES,1,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.6,0,93.6,0,0,0,0,0,0,0,0,0,0,0,0,3854,0,0,0,0,0,0,3947.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3854,3947.6,0,0,0,3854,93.6,0,0,0,0,0,0,3947.6,,PRODUCTION,0.66
2019,1230WFRTTC215TE,1.10033E+11,DSM NUTRITIONAL PRODUCTS,2105 TECHNOLOGY DR,SCHENECTADY,SCHENECTADY,NY,12308,,,42.83456,-73.92296,NAD83,DSM HOLDING CO USA INC,160147252,DSM HOLDING CO USA INC,NO,325,Chemicals,,,,,,,325412,,,,,,1.31922E+12,MANGANESE  and MANGANESE COMPOUNDS,YES,N450,650010,YES,TRI,YES,1,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,0,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,618,0,0,0,618,0,0,0,0,0,0,0,618,,PRODUCTION,0.66
2019,13209SLVYP53IND,1.1001E+11,WESTROCK - SOLVAY LLC,53 INDUSTRIAL DR,SYRACUSE,ONONDAGA,NY,13204,,,43.06385,-76.20463,NAD83,WESTROCK CO,81092578,WESTROCK CO,NO,322,Paper,,,,,,,322130,,,,,,1.31922E+12,LEAD COMPOUNDS,NO,N420,650002,YES,PBT,YES,1,NO,R,Pounds,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,1.54,1.999,0,1.999,0,0,0,0,0,0,0,0,0,0,0,0,44.8,0,0,0,706,0,0,752.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.8,754.339,0,0,1.54,46.06,706.739,0,0,0,0,0,0,754.339,,PRODUCTION,1
2019,13209SLVYP53IND,1.1001E+11,WESTROCK - SOLVAY LLC,53 INDUSTRIAL DR,SYRACUSE,ONONDAGA,NY,13204,,,43.06385,-76.20463,NAD83,WESTROCK CO,81092578,WESTROCK CO,NO,322,Paper,,,,,,,322130,,,,,,1.31922E+12,MERCURY COMPOUNDS,NO,N458,650028,YES,PBT,YES,1,NO,R,Pounds,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.0876,0,0.0876,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0,0,0,3.57,0,0,3.8746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.787,4.6146,0,0,0.74,0.2774,3.5972,0,0,0,0,0,0,4.6146,,PRODUCTION,1
2019,13209SLVYP53IND,1.1001E+11,WESTROCK - SOLVAY LLC,53 INDUSTRIAL DR,SYRACUSE,ONONDAGA,NY,13204,,,43.06385,-76.20463,NAD83,WESTROCK CO,81092578,WESTROCK CO,NO,322,Paper,,,,,,,322130,,,,,,1.31922E+12,POLYCYCLIC AROMATIC COMPOUNDS,NO,N590,649749,YES,PBT,NO,0,YES,R,Pounds,0,0.0542,0,0,0,0,0,0,0,0,0,0,0,0,0.0542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949,0,0,0,18.37,0,0,19.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.319,19.3732,0,0,0.0542,0.949,18.37,0,0,0,0,0,0,19.3732,,PRODUCTION,1
2019,13209SLVYP53IND,1.1001E+11,WESTROCK - SOLVAY LLC,53 INDUSTRIAL DR,SYRACUSE,ONONDAGA,NY,13204,,,43.06385,-76.20463,NAD83,WESTROCK CO,81092578,WESTROCK CO,NO,322,Paper,,,,,,,322130,,,,,,1.31922E+12,HYDROGEN SULFIDE,NO,7783064,154518,YES,TRI,NO,0,NO,R,Pounds,0,993,0,0,0,0,0,0,0,0,0,0,0,0,993,0,11300,11300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11300,0,11300,993,0,0,993,0,0,442,0,0,0,111000,11300,123735,,PRODUCTION,1
2019,13209SLVYP53IND,1.1001E+11,WESTROCK - SOLVAY LLC,53 INDUSTRIAL DR,SYRACUSE,ONONDAGA,NY,13204,,,43.06385,-76.20463,NAD83,WESTROCK CO,81092578,WESTROCK CO,NO,322,Paper,,,,,,,322130,,,,,,1.31922E+12,METHANOL,NO,67561,4283,YES,TRI,NO,0,NO,R,Pounds,0,18700,0,0,0,0,0,0,0,0,0,0,0,0,18700,968,11132,12100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11132,0,11132,19668,0,0,18700,0,968,0,0,0,0,0,11132,30800,,PRODUCTION,1
2019,13209SLVYP53IND,1.1001E+11,WESTROCK - SOLVAY LLC,53 INDUSTRIAL DR,SYRACUSE,ONONDAGA,NY,13204,,,43.06385,-76.20463,NAD83,WESTROCK CO,81092578,WESTROCK CO,NO,322,Paper,,,,,,,322130,,,,,,1.31922E+12,POLYCHLORINATED BIPHENYLS,NO,1336363,85878,YES,PBT,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,1.214,0,0,2.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.494,2.494,0,0,0,1.28,1.214,0,0,0,0,0,0,2.494,,PRODUCTION,1
